#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622351.1	554276	555015	clfA	1843-2582/2841	.........=====.	0/0	26.05	76.89	vfdb	NP_645581	vfdb~~~clfA~~~NP_645581 (clfA) Clumping factor A fibrinogen-binding protein [Clumping factor (VF0004)] [Staphylococcus aureus subsp. aureus MW2]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622351.1	919893	920186	esxA	1-294/294	===============	0/0	100.00	84.69	vfdb	NP_645073	vfdb~~~esxA~~~NP_645073 (esxA) type VII secretion system protein secreted protein EsxA [Type VII secretion system (VF0403)] [Staphylococcus aureus subsp. aureus MW2]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622351.1	989914	990476	clpP	1-563/597	===============	0/0	94.30	79.04	vfdb	NP_465991	vfdb~~~clpP~~~NP_465991 (clpP) ATP-dependent Clp protease proteolytic subunit [ClpP (VF0074)] [Listeria monocytogenes EGD-e]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	341896	342087	hasC	15-206/915	====...........	0/0	20.98	75.00	vfdb	NP_270109	vfdb~~~hasC~~~NP_270109 (hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	538976	540219	cap8O	1-1247/1263	========/======	9/15	98.02	75.34	vfdb	NP_644953	vfdb~~~cap8O~~~NP_644953 (cap8O) capsular polysaccharide synthesis enzyme Cap8O [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	541150	541680	cap8M	28-558/558	===============	0/0	95.16	75.89	vfdb	NP_644951	vfdb~~~cap8M~~~NP_644951 (cap8M) capsular polysaccharide synthesis enzyme Cap8M [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	547160	548280	cap8G	1-1121/1125	========/======	2/2	99.56	78.88	vfdb	NP_644945	vfdb~~~cap8G~~~NP_644945 (cap8G) capsular polysaccharide synthesis enzyme Cap8G [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	549415	550428	cap8E	1-1014/1029	===============	0/0	98.54	78.89	vfdb	NP_644943	vfdb~~~cap8E~~~NP_644943 (cap8E) capsular polysaccharide synthesis enzyme Cap8E [Capsule (VF0003)] [Staphylococcus aureus subsp. aureus MW2]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	781350	781588	isdG	1-239/324	========/===...	2/6	72.84	77.69	vfdb	YP_001332081	vfdb~~~isdG~~~YP_001332081 (isdG) iron-regulated surface determinant protein G [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	784091	784851	isdE	106-866/879	.=======/======	4/6	86.23	79.32	vfdb	YP_001332078	vfdb~~~isdE~~~YP_001332078 (isdE) iron-regulated surface determinant protein E [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
data/test/GCF_000185485.1/GCF_000185485.1_ASM18548v1_genomic.fna.gz	NZ_GL622352.1	786639	786967	isdC	103-431/684	..======/=.....	4/10	47.37	79.64	vfdb	YP_001332076	vfdb~~~isdC~~~YP_001332076 (isdC) iron-regulated surface determinant protein C [Isd (VF0015)] [Staphylococcus aureus subsp. aureus str. Newman]
